"id";"ALUMNOS";"ESPANOL";"MATEMATICAS";"INGLES";"CIENCIAS_NATURALES";"HISTORIA";"EDUCACION_FISICA";"ARTES";"TECNOLOGIA";"NUM_FALTAS";"PARTICIPACIONES";"RENDIMIENTO"
429;"ALICIA PEREZ GONZALEZ";68.0;75.0;70.0;72.0;70.0;80.0;75.0;73.0;12;3;"Regular"
430;"JORGE HERNANDEZ MARTINEZ";95.0;92.0;94.0;93.0;94.0;97.0;96.0;94.0;2;5;"Excelente"
431;"LUZ FLORES RAMIREZ";50.0;55.0;52.0;53.0;56.0;61.0;57.0;54.0;25;1;"Malo"
432;"DAVID MORALES HERRERA";82.0;78.0;85.0;80.0;83.0;86.0;84.0;83.0;6;4;"Bueno"
433;"VERONICA TORRES LOPEZ";70.0;65.0;68.0;72.0;70.0;75.0;73.0;71.0;10;3;"Regular"
434;"CARLOS GOMEZ HERNANDEZ";85.0;90.0;88.0;92.0;89.0;95.0;87.0;90.0;5;4;"Bueno"
435;"ANA MARTINEZ PEREZ";60.0;70.0;65.0;62.0;58.0;60.0;65.0;68.0;15;3;"Regular"
436;"JOSE RAMIREZ LOPEZ";90.0;85.0;88.0;92.0;91.0;93.0;89.0;91.0;3;5;"Excelente"
437;"MARIA GONZALEZ RAMIREZ";55.0;60.0;58.0;57.0;59.0;64.0;61.0;60.0;20;2;"Malo"
438;"ALFONSO RAMIREZ PEREZ";78.0;82.0;80.0;85.0;84.0;88.0;82.0;85.0;8;4;"Bueno"
439;"ELENA PEREZ HERRERA";68.0;75.0;70.0;72.0;70.0;80.0;75.0;73.0;12;3;"Regular"
440;"RAUL HERNANDEZ GONZALEZ";95.0;92.0;94.0;93.0;94.0;97.0;96.0;94.0;2;5;"Excelente"
441;"ROSALIA FLORES MARTINEZ";50.0;55.0;52.0;53.0;56.0;61.0;57.0;54.0;25;1;"Malo"
442;"ANDRES MORALES SANCHEZ";82.0;78.0;85.0;80.0;83.0;86.0;84.0;83.0;6;4;"Bueno"
443;"CRISTINA TORRES GONZALEZ";70.0;65.0;68.0;72.0;70.0;75.0;73.0;71.0;10;3;"Regular"
444;"CARLOS GOMEZ MARTINEZ";85.0;90.0;88.0;92.0;89.0;95.0;87.0;90.0;5;4;"Bueno"
445;"MARIA MARTINEZ RAMIREZ";60.0;70.0;65.0;62.0;58.0;60.0;65.0;68.0;15;3;"Regular"
446;"JORGE RAMIREZ PEREZ";90.0;85.0;88.0;92.0;91.0;93.0;89.0;91.0;3;5;"Excelente"
447;"LUISA GONZALEZ HERRERA";55.0;60.0;58.0;57.0;59.0;64.0;61.0;60.0;20;2;"Malo"
448;"FRANCISCO RAMIREZ MARTINEZ";78.0;82.0;80.0;85.0;84.0;88.0;82.0;85.0;8;4;"Bueno"
449;"LAURA PEREZ GONZALEZ";68.0;75.0;70.0;72.0;70.0;80.0;75.0;73.0;12;3;"Regular"
450;"ALEJANDRO HERNANDEZ CRUZ";95.0;92.0;94.0;93.0;94.0;97.0;96.0;94.0;2;5;"Excelente"
451;"MONICA FLORES DIAZ";50.0;55.0;52.0;53.0;56.0;61.0;57.0;54.0;25;1;"Malo"
452;"JUAN MORALES GARCIA";82.0;78.0;85.0;80.0;83.0;86.0;84.0;83.0;6;4;"Bueno"
453;"PATRICIA TORRES HERRERA";70.0;65.0;68.0;72.0;70.0;75.0;73.0;71.0;10;3;"Regular"
454;"JOSUE GRANADOS CORTES";85.0;88.0;87.0;89.0;87.0;91.0;86.0;88.0;5;4;"Bueno"
455;"ZURI ANAHI GRANADILLA VEGA";90.0;95.0;94.0;96.0;93.0;97.0;92.0;95.0;3;5;"Excelente"
456;"ALVARO FERNANDO HERNANDEZ BADILLO";82.0;85.0;83.0;86.0;84.0;88.0;81.0;85.0;6;4;"Bueno"
457;"JAIME BAUTISTA CARDONA";80.0;83.0;81.0;85.0;82.0;87.0;80.0;84.0;7;4;"Bueno"
458;"ARLETTE CRUZ LUNA";92.0;95.0;93.0;97.0;94.0;98.0;93.0;96.0;3;5;"Excelente"
459;"ARELY DEYANIRA TAMARIZ ROMERO";91.0;94.0;92.0;95.0;93.0;96.0;92.0;94.0;2;5;"Excelente"
460;"CARLOS LOPEZ HERNANDEZ";84.0;88.0;86.0;89.0;87.0;91.0;85.0;88.0;5;4;"Bueno"
461;"MARTA PEREZ GONZALEZ";62.0;67.0;65.0;66.0;64.0;69.0;63.0;66.0;14;3;"Regular"
462;"ISAI LARA MOJICA";91.0;93.0;92.0;94.0;95.0;96.0;90.0;93.0;4;5;"Excelente"
463;"SOFIA HERNANDEZ CRUZ";55.0;60.0;58.0;59.0;57.0;64.0;61.0;60.0;20;2;"Malo"
464;"ALICIA GARCIA LOPEZ";78.0;82.0;80.0;84.0;83.0;87.0;82.0;85.0;8;4;"Bueno"
465;"JUAN RAMIREZ MARTINEZ";69.0;74.0;72.0;71.0;70.0;77.0;73.0;72.0;12;3;"Regular"
466;"ANDREA GONZALEZ PEREZ";95.0;94.0;96.0;92.0;95.0;97.0;94.0;95.0;2;5;"Excelente"
467;"ANGEL DE JESUS LARA BARRERA";50.0;55.0;53.0;54.0;52.0;60.0;56.0;54.0;25;1;"Malo"
468;"JAVIER HERNANDEZ GARCIA";83.0;87.0;85.0;88.0;86.0;90.0;84.0;87.0;6;4;"Bueno"
469;"PATRICIA PEREZ MARTINEZ";72.0;75.0;73.0;74.0;72.0;78.0;74.0;73.0;11;3;"Regular"
470;"ALBERTO RAMIREZ CRUZ";88.0;91.0;90.0;93.0;91.0;94.0;89.0;92.0;4;5;"Excelente"
471;"VICTORIA GONZALEZ LOPEZ";57.0;62.0;60.0;59.0;58.0;65.0;62.0;61.0;22;3;"Malo"
472;"RAFAEL LOPEZ MARTINEZ";76.0;80.0;78.0;81.0;79.0;86.0;77.0;80.0;9;4;"Bueno"
473;"ROSA RAMIREZ HERNANDEZ";63.0;69.0;66.0;65.0;64.0;70.0;68.0;66.0;13;3;"Regular"
474;"LUIS MARTINEZ GARCIA";94.0;96.0;95.0;97.0;96.0;98.0;95.0;96.0;3;5;"Excelente"
475;"CAROLINA PEREZ CRUZ";54.0;57.0;55.0;53.0;52.0;60.0;58.0;56.0;23;2;"Malo"
476;"FELIPE HERNANDEZ LOPEZ";81.0;85.0;83.0;86.0;84.0;88.0;82.0;85.0;6;4;"Bueno"
477;"ARACELI GONZALEZ RAMIREZ";66.0;71.0;68.0;67.0;66.0;73.0;70.0;68.0;12;3;"Regular"
478;"ARTURO LOPEZ HERNANDEZ";89.0;92.0;91.0;94.0;92.0;95.0;90.0;92.0;4;5;"Excelente"
479;"MANUEL PEREZ MARTINEZ";58.0;63.0;61.0;60.0;59.0;66.0;62.0;61.0;21;2;"Malo"
480;"ANA RAMIREZ CRUZ";75.0;80.0;78.0;82.0;80.0;85.0;77.0;79.0;10;4;"Bueno"
481;"JULIETA GONZALEZ GARCIA";68.0;72.0;70.0;69.0;68.0;75.0;72.0;71.0;12;3;"Regular"
482;"OSCAR LOPEZ HERNANDEZ";93.0;95.0;94.0;96.0;95.0;97.0;93.0;95.0;3;5;"Excelente"
483;"FRANCISCA PEREZ RAMIREZ";53.0;58.0;55.0;54.0;52.0;61.0;57.0;55.0;24;2;"Malo"
484;"ISMAEL HERNANDEZ LOPEZ";80.0;84.0;82.0;85.0;83.0;87.0;81.0;84.0;6;4;"Bueno"
485;"MARGARITA GONZALEZ MARTINEZ";67.0;70.0;68.0;67.0;66.0;72.0;69.0;68.0;13;3;"Regular"
486;"SERGIO LOPEZ RAMIREZ";90.0;93.0;92.0;95.0;93.0;96.0;91.0;93.0;4;5;"Excelente"
487;"MONICA PEREZ GONZALEZ";56.0;61.0;59.0;57.0;55.0;63.0;61.0;59.0;22;3;"Malo"
488;"IGNACIO RAMIREZ HERNANDEZ";77.0;81.0;79.0;82.0;80.0;86.0;78.0;80.0;8;4;"Bueno"
489;"FERNANDA GONZALEZ LOPEZ";65.0;70.0;68.0;67.0;66.0;73.0;71.0;68.0;12;3;"Regular"
490;"MARIO LOPEZ MARTINEZ";88.0;91.0;90.0;93.0;91.0;94.0;89.0;92.0;4;5;"Excelente"
491;"MIRIAM PEREZ CRUZ";58.0;63.0;60.0;59.0;58.0;65.0;62.0;60.0;21;3;"Malo"
492;"ANDREA RAMIREZ HERNANDEZ";76.0;80.0;78.0;81.0;79.0;85.0;77.0;80.0;9;4;"Bueno"
493;"ALICIA GONZALEZ LOPEZ";64.0;69.0;67.0;66.0;65.0;72.0;70.0;67.0;13;3;"Regular"
494;"JESUS LOPEZ HERNANDEZ";92.0;94.0;93.0;95.0;94.0;97.0;92.0;94.0;3;5;"Excelente"
495;"LAURA PEREZ RAMIREZ";52.0;56.0;54.0;53.0;51.0;60.0;56.0;54.0;24;2;"Malo"
496;"MARCOS HERNANDEZ MARTINEZ";81.0;85.0;83.0;86.0;84.0;89.0;82.0;85.0;6;4;"Bueno"
497;"GABRIELA GONZALEZ RAMIREZ";67.0;71.0;69.0;68.0;67.0;74.0;71.0;70.0;13;3;"Regular"
498;"SALVADOR LOPEZ HERNANDEZ";89.0;92.0;91.0;94.0;92.0;96.0;90.0;93.0;4;5;"Excelente"
499;"VERONICA PEREZ MARTINEZ";55.0;60.0;58.0;56.0;54.0;63.0;60.0;58.0;22;3;"Malo"
500;"ARTURO RAMIREZ CRUZ";75.0;79.0;77.0;81.0;79.0;84.0;76.0;79.0;10;4;"Bueno"
504;"Juan PErez LOpez";85.0;90.0;88.0;92.0;87.0;95.0;80.0;85.0;2;5;"Bueno"
505;"MarIa LOpez GarcIa";78.0;83.0;85.0;79.0;81.0;88.0;75.0;78.0;3;4;"Regular"
506;"Carlos GonzAlez MartInez";95.0;98.0;92.0;97.0;93.0;99.0;90.0;92.0;1;6;"Excelente"
507;"Ana MartInez Ruiz";60.0;70.0;65.0;75.0;72.0;65.0;60.0;70.0;5;3;"Deficiente"
508;"Laura RodrIguez HernAndez";88.0;85.0;87.0;84.0;82.0;90.0;85.0;88.0;2;4;"Bueno"
509;"Luis SAnchez FernAndez";76.0;80.0;78.0;79.0;77.0;80.0;70.0;76.0;3;5;"Regular"
510;"Patricia FernAndez GonzAlez";90.0;93.0;89.0;91.0;88.0;95.0;85.0;90.0;1;6;"Muy Bueno"
511;"Jorge RamIrez PErez";82.0;87.0;84.0;86.0;83.0;85.0;80.0;82.0;2;5;"Bueno"
512;"Andrea Torres LOpez";70.0;75.0;73.0;72.0;74.0;78.0;68.0;70.0;4;3;"Regular"
513;"David GonzAlez RamIrez";65.0;60.0;67.0;66.0;63.0;70.0;55.0;60.0;6;2;"Deficiente"
514;"Laura GarcIa RamIrez";95.0;93.0;91.0;92.0;89.0;94.0;85.0;90.0;1;6;"Excelente"
515;"SofIa MartInez GonzAlez";87.0;85.0;83.0;88.0;84.0;89.0;80.0;85.0;2;5;"Bueno"
516;"Daniel PErez Torres";78.0;80.0;79.0;82.0;76.0;83.0;70.0;75.0;3;4;"Regular"
517;"LucIa HernAndez SAnchez";88.0;90.0;87.0;89.0;85.0;91.0;82.0;87.0;2;5;"Muy Bueno"
518;"JosE Luis FernAndez GarcIa";92.0;95.0;90.0;91.0;88.0;94.0;85.0;92.0;1;6;"Excelente"
519;"Claudia GarcIa FernAndez";76.0;79.0;78.0;80.0;75.0;82.0;72.0;78.0;3;4;"Regular"
520;"Alejandro Ruiz PErez";85.0;88.0;87.0;89.0;86.0;90.0;80.0;85.0;2;5;"Bueno"
521;"Cristina Torres MartInez";90.0;92.0;91.0;93.0;89.0;94.0;85.0;90.0;1;6;"Muy Bueno"
522;"Felipe RamIrez HernAndez";72.0;74.0;73.0;75.0;70.0;78.0;65.0;70.0;4;3;"Regular"
523;"Gabriela SAnchez Ruiz";88.0;87.0;89.0;85.0;84.0;91.0;83.0;86.0;2;5;"Bueno"
524;"Pedro GarcIa LOpez";80.0;85.0;82.0;88.0;83.0;87.0;78.0;80.0;3;4;"Bueno"
525;"Marta JimEnez PErez";75.0;78.0;77.0;76.0;74.0;79.0;70.0;75.0;4;2;"Regular"
526;"RaUl MartInez Torres";85.0;90.0;88.0;89.0;87.0;91.0;80.0;85.0;2;5;"Bueno"
527;"Isabel SAnchez GonzAlez";93.0;94.0;92.0;95.0;90.0;97.0;89.0;92.0;1;6;"Excelente"
528;"Carmen HernAndez FernAndez";68.0;70.0;69.0;67.0;65.0;71.0;60.0;65.0;5;3;"Deficiente"
529;"Luis GOmez RodrIguez";88.0;85.0;87.0;84.0;82.0;90.0;85.0;88.0;2;4;"Bueno"
530;"Ana MarIa PErez GarcIa";72.0;75.0;74.0;78.0;73.0;76.0;68.0;70.0;4;3;"Regular"
531;"Enrique FernAndez RamIrez";80.0;85.0;83.0;87.0;81.0;88.0;75.0;80.0;3;5;"Bueno"
532;"Rosa LOpez JimEnez";92.0;90.0;91.0;89.0;88.0;93.0;84.0;90.0;1;6;"Muy Bueno"
533;"Carlos MartInez GOmez";75.0;78.0;76.0;77.0;74.0;80.0;72.0;75.0;3;4;"Regular"
534;"Laura Torres HernAndez";89.0;91.0;90.0;93.0;88.0;95.0;86.0;89.0;2;5;"Bueno"
535;"Fernando GonzAlez SAnchez";70.0;72.0;71.0;73.0;68.0;75.0;65.0;70.0;5;3;"Deficiente"
536;"Clara RamIrez LOpez";83.0;85.0;84.0;88.0;82.0;90.0;78.0;83.0;2;4;"Bueno"
537;"Esteban PErez Torres";90.0;93.0;91.0;95.0;89.0;96.0;85.0;90.0;1;6;"Muy Bueno"
538;"Sara GOmez MartInez";65.0;67.0;66.0;68.0;62.0;70.0;55.0;60.0;6;2;"Deficiente"
539;"Manuel FernAndez GonzAlez";88.0;85.0;86.0;84.0;81.0;89.0;75.0;83.0;3;5;"Bueno"
540;"Ana Torres RamIrez";78.0;80.0;79.0;82.0;77.0;85.0;70.0;75.0;4;3;"Regular"
541;"Roberto JimEnez LOpez";92.0;95.0;93.0;94.0;90.0;97.0;85.0;92.0;1;6;"Excelente"
542;"Carmen GarcIa SAnchez";68.0;70.0;69.0;71.0;66.0;73.0;60.0;65.0;5;3;"Deficiente"
543;"Javier GonzAlez HernAndez";85.0;88.0;86.0;87.0;84.0;90.0;80.0;85.0;2;5;"Bueno"
544;"LucIa RamIrez PErez";78.0;80.0;79.0;82.0;77.0;85.0;70.0;75.0;3;4;"Regular"
545;"Alberto FernAndez GarcIa";90.0;93.0;91.0;95.0;89.0;96.0;85.0;90.0;1;6;"Muy Bueno"
546;"Sandra LOpez Torres";75.0;77.0;76.0;78.0;74.0;80.0;70.0;75.0;4;3;"Regular"
547;"Marcos PErez JimEnez";82.0;85.0;83.0;87.0;81.0;88.0;75.0;80.0;2;4;"Bueno"
548;"Clara GonzAlez MartInez";88.0;90.0;89.0;91.0;85.0;93.0;80.0;88.0;2;5;"Muy Bueno"
549;"Daniel RamIrez GarcIa";70.0;73.0;72.0;75.0;70.0;78.0;65.0;70.0;5;3;"Regular"
550;"Isabel HernAndez LOpez";90.0;92.0;91.0;94.0;88.0;96.0;85.0;90.0;1;6;"Excelente"
551;"RaUl SAnchez PErez";68.0;70.0;69.0;71.0;66.0;73.0;60.0;65.0;5;3;"Deficiente"
552;"Marta JimEnez GonzAlez";85.0;88.0;87.0;89.0;84.0;91.0;80.0;85.0;2;5;"Bueno"
553;"Juan Torres RamIrez";75.0;77.0;76.0;78.0;74.0;80.0;70.0;75.0;4;3;"Regular"
554;"Carmen LOpez FernAndez";88.0;90.0;89.0;91.0;85.0;93.0;80.0;88.0;2;5;"Muy Bueno"
555;"Pedro GarcIa HernAndez";92.0;95.0;93.0;94.0;90.0;97.0;85.0;92.0;1;6;"Excelente"
556;"LucIa RamIrez SAnchez";65.0;67.0;66.0;68.0;62.0;70.0;55.0;60.0;6;2;"Deficiente"
557;"Alberto FernAndez PErez";88.0;90.0;89.0;91.0;85.0;93.0;80.0;88.0;2;5;"Muy Bueno"
558;"Laura LOpez JimEnez";70.0;73.0;72.0;75.0;70.0;78.0;65.0;70.0;5;3;"Regular"
559;"Carlos JimEnez GonzAlez";85.0;88.0;87.0;89.0;84.0;91.0;80.0;85.0;2;5;"Bueno"
560;"Sara RamIrez HernAndez";92.0;95.0;93.0;94.0;90.0;97.0;85.0;92.0;1;6;"Excelente"
561;"Felipe PErez SAnchez";65.0;67.0;66.0;68.0;62.0;70.0;55.0;60.0;6;2;"Deficiente"
562;"Ana GarcIa Torres";88.0;90.0;89.0;91.0;85.0;93.0;80.0;88.0;2;5;"Muy Bueno"
563;"Luis FernAndez JimEnez";78.0;80.0;79.0;82.0;77.0;85.0;70.0;75.0;3;4;"Regular"
564;"Patricia SAnchez RamIrez";85.0;88.0;87.0;89.0;84.0;91.0;80.0;85.0;2;5;"Bueno"
565;"Jorge Torres GonzAlez";92.0;95.0;93.0;94.0;90.0;97.0;85.0;92.0;1;6;"Excelente"
566;"Carmen PErez JimEnez";65.0;67.0;66.0;68.0;62.0;70.0;55.0;60.0;6;2;"Deficiente"
567;"SofIa LOpez RamIrez";88.0;90.0;89.0;91.0;85.0;93.0;80.0;88.0;2;5;"Muy Bueno"
568;"AndrEs JimEnez FernAndez";75.0;77.0;76.0;78.0;74.0;80.0;70.0;75.0;4;3;"Regular"
569;"Isabel RamIrez PErez";90.0;92.0;91.0;94.0;88.0;96.0;85.0;90.0;1;6;"Excelente"
570;"David FernAndez RamIrez";68.0;70.0;69.0;71.0;66.0;73.0;60.0;65.0;5;3;"Deficiente"
571;"Clara JimEnez GarcIa";88.0;90.0;89.0;91.0;85.0;93.0;80.0;88.0;2;5;"Muy Bueno"
572;"Felipe PErez GonzAlez";70.0;73.0;72.0;75.0;70.0;78.0;65.0;70.0;5;3;"Regular"
573;"LucIa FernAndez RamIrez";85.0;88.0;87.0;89.0;84.0;91.0;80.0;85.0;2;5;"Bueno"
574;"Carlos SAnchez JimEnez";92.0;95.0;93.0;94.0;90.0;97.0;85.0;92.0;1;6;"Excelente"
575;"Laura Torres GarcIa";65.0;67.0;66.0;68.0;62.0;70.0;55.0;60.0;6;2;"Deficiente"
576;"Manuel RamIrez LOpez";88.0;90.0;89.0;91.0;85.0;93.0;80.0;88.0;2;5;"Muy Bueno"
577;"Ana JimEnez PErez";78.0;80.0;79.0;82.0;77.0;85.0;70.0;75.0;3;4;"Regular"
578;"Javier GarcIa SAnchez";85.0;88.0;87.0;89.0;84.0;91.0;80.0;85.0;2;5;"Bueno"
579;"Isabel Torres GonzAlez";90.0;92.0;91.0;94.0;88.0;96.0;85.0;90.0;1;6;"Excelente"
580;"RaUl FernAndez RamIrez";68.0;70.0;69.0;71.0;66.0;73.0;60.0;65.0;5;3;"Deficiente"
581;"Marta PErez JimEnez";85.0;88.0;87.0;89.0;84.0;91.0;80.0;85.0;2;5;"Bueno"
582;"Luis JimEnez LOpez";78.0;80.0;79.0;82.0;77.0;85.0;70.0;75.0;3;4;"Regular"
583;"Patricia GarcIa Torres";92.0;95.0;93.0;94.0;90.0;97.0;85.0;92.0;1;6;"Excelente"
584;"Juan FernAndez PErez";65.0;67.0;66.0;68.0;62.0;70.0;55.0;60.0;6;2;"Deficiente"
585;"Cristina SAnchez JimEnez";88.0;90.0;89.0;91.0;85.0;93.0;80.0;88.0;2;5;"Muy Bueno"
586;"Fernando PErez Torres";70.0;73.0;72.0;75.0;70.0;78.0;65.0;70.0;5;3;"Regular"
587;"SofIa JimEnez GarcIa";85.0;88.0;87.0;89.0;84.0;91.0;80.0;85.0;2;5;"Bueno"
588;"Jorge Torres SAnchez";92.0;95.0;93.0;94.0;90.0;97.0;85.0;92.0;1;6;"Excelente"
589;"Sara FernAndez RamIrez";65.0;67.0;66.0;68.0;62.0;70.0;55.0;60.0;6;2;"Deficiente"
590;"Claudia JimEnez LOpez";88.0;90.0;89.0;91.0;85.0;93.0;80.0;88.0;2;5;"Muy Bueno"
591;"Daniel GarcIa PErez";78.0;80.0;79.0;82.0;77.0;85.0;70.0;75.0;3;4;"Regular"
592;"Laura SAnchez RamIrez";85.0;88.0;87.0;89.0;84.0;91.0;80.0;85.0;2;5;"Bueno"
593;"Luis Mendoza Ortiz";86.0;92.0;84.0;87.0;85.0;90.0;78.0;83.0;2;4;"Bueno"
594;"Ana RodrIguez MartInez";74.0;79.0;82.0;76.0;78.0;82.0;71.0;75.0;3;3;"Regular"
595;"Carlos JimEnez Silva";91.0;94.0;90.0;92.0;89.0;96.0;86.0;89.0;1;6;"Muy Bueno"
596;"MarIa GonzAlez PErez";66.0;70.0;68.0;69.0;67.0;72.0;60.0;65.0;5;2;"Deficiente"
597;"JosE FernAndez LOpez";85.0;89.0;87.0;88.0;86.0;91.0;80.0;84.0;2;5;"Bueno"
598;"LucIa MartInez Torres";77.0;80.0;79.0;81.0;75.0;82.0;68.0;73.0;4;4;"Regular"
599;"Miguel RamIrez HernAndez";92.0;95.0;94.0;91.0;89.0;97.0;87.0;90.0;1;6;"Excelente"
600;"Sandra GOmez RamIrez";69.0;72.0;71.0;70.0;68.0;74.0;61.0;66.0;5;3;"Deficiente"
601;"Alberto Torres GOmez";88.0;90.0;89.0;87.0;85.0;92.0;82.0;87.0;2;5;"Bueno"
602;"Carolina PErez GarcIa";75.0;78.0;76.0;77.0;74.0;80.0;69.0;73.0;4;4;"Regular"
603;"Daniel LOpez HernAndez";89.0;93.0;91.0;90.0;88.0;95.0;84.0;88.0;1;6;"Muy Bueno"
604;"Paula RamIrez JimEnez";68.0;70.0;69.0;67.0;65.0;72.0;60.0;64.0;5;2;"Deficiente"
605;"RaUl Torres FernAndez";86.0;89.0;88.0;87.0;84.0;90.0;79.0;83.0;2;5;"Bueno"
606;"Laura GOmez PErez";73.0;76.0;75.0;77.0;72.0;79.0;67.0;70.0;4;4;"Regular"
607;"Sergio FernAndez JimEnez";91.0;94.0;92.0;93.0;90.0;97.0;85.0;89.0;1;6;"Muy Bueno"
608;"Marta MartInez GarcIa";67.0;69.0;68.0;70.0;66.0;73.0;62.0;65.0;5;3;"Deficiente"
609;"Jorge RamIrez Torres";84.0;88.0;87.0;85.0;83.0;89.0;78.0;81.0;2;4;"Bueno"
610;"Claudia GarcIa PErez";74.0;77.0;76.0;75.0;73.0;80.0;69.0;71.0;4;4;"Regular"
611;"Fernando LOpez MartInez";90.0;93.0;91.0;92.0;89.0;95.0;83.0;87.0;1;6;"Muy Bueno"
612;"Elena RamIrez SAnchez";69.0;72.0;70.0;71.0;68.0;74.0;60.0;65.0;5;2;"Deficiente"
613;"David Torres GonzAlez";86.0;88.0;87.0;89.0;86.0;90.0;78.0;83.0;2;5;"Bueno"
614;"Patricia PErez RamIrez";76.0;79.0;78.0;77.0;75.0;81.0;68.0;72.0;3;4;"Regular"
615;"Alejandro JimEnez LOpez";91.0;94.0;92.0;93.0;91.0;96.0;84.0;88.0;1;6;"Muy Bueno"
616;"Carmen GonzAlez RamIrez";68.0;71.0;70.0;69.0;67.0;73.0;61.0;64.0;5;3;"Deficiente"
617;"Marcos FernAndez Torres";84.0;87.0;86.0;88.0;85.0;90.0;79.0;82.0;2;5;"Bueno"
618;"Laura RamIrez GarcIa";73.0;76.0;74.0;75.0;72.0;78.0;68.0;71.0;4;4;"Regular"
619;"Esteban PErez JimEnez";90.0;92.0;91.0;90.0;89.0;95.0;83.0;87.0;1;6;"Muy Bueno"
620;"Ana GOmez Torres";66.0;68.0;67.0;70.0;66.0;72.0;60.0;63.0;5;2;"Deficiente"
621;"Juan GarcIa RamIrez";85.0;89.0;88.0;87.0;85.0;91.0;79.0;84.0;2;5;"Bueno"
622;"MarIa FernAndez PErez";77.0;80.0;79.0;78.0;76.0;82.0;69.0;73.0;4;3;"Regular"
623;"Luis JimEnez GonzAlez";92.0;95.0;94.0;93.0;90.0;96.0;85.0;89.0;1;6;"Muy Bueno"
624;"SofIa LOpez Torres";68.0;70.0;69.0;68.0;66.0;73.0;60.0;64.0;5;2;"Deficiente"
625;"Diego RamIrez GarcIa";86.0;88.0;87.0;85.0;84.0;90.0;79.0;82.0;2;5;"Bueno"
626;"Carla PErez MartInez";74.0;76.0;75.0;78.0;72.0;79.0;68.0;71.0;4;4;"Regular"
627;"Javier FernAndez RamIrez";90.0;93.0;91.0;92.0;89.0;95.0;83.0;87.0;1;6;"Muy Bueno"
628;"Cristina Torres JimEnez";69.0;71.0;70.0;72.0;67.0;74.0;60.0;65.0;5;3;"Deficiente"
629;"RaUl GonzAlez LOpez";84.0;87.0;86.0;88.0;85.0;90.0;78.0;83.0;2;5;"Bueno"
630;"MOnica GarcIa PErez";75.0;77.0;76.0;74.0;73.0;80.0;69.0;72.0;4;4;"Regular"
631;"Daniel RamIrez FernAndez";91.0;94.0;93.0;92.0;90.0;96.0;84.0;88.0;1;6;"Muy Bueno"
632;"Sara PErez JimEnez";67.0;69.0;68.0;67.0;65.0;72.0;60.0;63.0;5;3;"Deficiente"
633;"Miguel FernAndez LOpez";85.0;89.0;88.0;87.0;85.0;91.0;79.0;83.0;2;5;"Bueno"
634;"Patricia RamIrez Torres";76.0;78.0;77.0;79.0;75.0;82.0;68.0;71.0;3;4;"Regular"
635;"AndrEs GonzAlez GarcIa";90.0;93.0;91.0;92.0;88.0;95.0;83.0;87.0;1;6;"Muy Bueno"
636;"Elena JimEnez RamIrez";68.0;71.0;69.0;70.0;67.0;74.0;60.0;65.0;5;2;"Deficiente"
637;"Carlos Torres PErez";84.0;86.0;85.0;87.0;85.0;89.0;78.0;81.0;2;5;"Bueno"
638;"Claudia FernAndez GonzAlez";73.0;76.0;75.0;75.0;72.0;79.0;68.0;70.0;4;4;"Regular"
639;"JosE RamIrez JimEnez";89.0;92.0;91.0;90.0;88.0;94.0;82.0;86.0;1;6;"Muy Bueno"
640;"MarIa GarcIa Torres";66.0;68.0;67.0;66.0;65.0;71.0;60.0;63.0;5;2;"Deficiente"
641;"Jorge JimEnez PErez";86.0;88.0;87.0;85.0;83.0;90.0;78.0;82.0;2;5;"Bueno"
642;"Laura LOpez RamIrez";75.0;77.0;76.0;74.0;73.0;79.0;69.0;71.0;4;4;"Regular"
643;"Ricardo FernAndez JimEnez";92.0;95.0;94.0;93.0;91.0;96.0;85.0;89.0;1;6;"Muy Bueno"
644;"Ana PErez GarcIa";68.0;70.0;69.0;68.0;66.0;73.0;60.0;64.0;5;3;"Deficiente"
645;"SofIa RamIrez FernAndez";85.0;89.0;88.0;87.0;85.0;91.0;79.0;84.0;2;5;"Bueno"
646;"David Torres JimEnez";76.0;79.0;78.0;76.0;75.0;81.0;68.0;72.0;3;4;"Regular"
647;"Carla FernAndez LOpez";91.0;94.0;93.0;92.0;89.0;96.0;84.0;88.0;1;6;"Muy Bueno"
648;"Pablo GarcIa RamIrez";67.0;69.0;68.0;67.0;65.0;71.0;60.0;63.0;5;3;"Deficiente"
649;"Javier JimEnez PErez";85.0;88.0;87.0;86.0;84.0;90.0;78.0;82.0;2;5;"Bueno"
650;"Patricia LOpez FernAndez";74.0;76.0;75.0;77.0;73.0;79.0;68.0;71.0;4;4;"Regular"
651;"Carlos RamIrez Torres";92.0;95.0;94.0;93.0;90.0;96.0;85.0;89.0;1;6;"Muy Bueno"
652;"LucIa PErez JimEnez";67.0;69.0;68.0;66.0;65.0;71.0;60.0;63.0;5;2;"Deficiente"
653;"Alejandro FernAndez GonzAlez";85.0;89.0;88.0;87.0;85.0;91.0;79.0;83.0;2;5;"Bueno"
654;"Sara GarcIa RamIrez";74.0;77.0;76.0;75.0;73.0;79.0;69.0;72.0;4;4;"Regular"
655;"AndrEs JimEnez LOpez";91.0;94.0;93.0;92.0;89.0;96.0;84.0;88.0;1;6;"Muy Bueno"
656;"Cristina RamIrez Torres";68.0;71.0;70.0;69.0;67.0;74.0;60.0;65.0;5;3;"Deficiente"
